Status: ColumnGeneration
Objective: 148.000000

T_0_0 8
F_0_0 39
X_0_0_0_16 1
T_0_1 16
F_0_1 37
X_0_1_1_9 1
T_0_2 21
F_0_2 22
X_0_2_2_8 1
T_1_0 0
F_1_0 4
X_1_0_2_2 1
T_1_1 2
F_1_1 20
X_1_1_3_3 1
T_2_0 7
F_2_0 2
X_2_0_2_7 1
T_2_1 10
F_2_1 6
X_2_1_2_8 1
T_2_2 17
F_2_2 14
X_2_2_1_5 1
T_3_0 0
F_3_0 50
X_3_0_2_1 1
T_3_1 3
F_3_1 20
X_3_1_3_3 1
T_4_0 5
F_4_0 36
X_4_0_2_3 1
T_4_1 12
F_4_1 0
X_4_1_2_3 1
T_4_2 16
F_4_2 0
X_4_2_0_8 1
T_5_0 0
F_5_0 15
X_5_0_1_2 1
T_5_1 4
F_5_1 29
X_5_1_3_1 1
T_5_2 5
F_5_2 16
X_5_2_2_1 1
T_6_0 2
F_6_0 0
X_6_0_1_2 1
T_6_1 14
F_6_1 1
X_6_1_2_5 1
T_6_2 17
F_6_2 27
X_6_2_1_3 1
T_7_0 1
F_7_0 37
X_7_0_3_1 1
T_7_1 4
F_7_1 37
X_7_1_3_1 1
T_7_2 7
F_7_2 31
X_7_2_3_2 1
T_8_0 9
F_8_0 21
X_8_0_3_2 1
T_8_1 19
F_8_1 9
X_8_1_1_2 1
T_8_2 23
F_8_2 11
X_8_2_3_5 1
T_9_0 0
F_9_0 20
X_9_0_3_2 1
T_9_1 2
F_9_1 53
X_9_1_1_1 1
T_9_2 6
F_9_2 5
X_9_2_3_1 1
T_10_0 2
F_10_0 5
X_10_0_1_5 1
T_10_1 15
F_10_1 28
X_10_1_2_2 1
T_10_2 20
F_10_2 38
X_10_2_3_2 1
T_11_0 4
F_11_0 17
X_11_0_3_1 1
T_11_1 9
F_11_1 0
X_11_1_3_1 1
T_11_2 10
F_11_2 2
X_11_2_2_1 1
T_12_0 12
F_12_0 12
X_12_0_2_5 1
T_12_1 16
F_12_1 9
X_12_1_3_2 1
T_12_2 17
F_12_2 33
X_12_2_1_2 1
T_13_0 0
F_13_0 0
X_13_0_2_1 1
T_13_1 6
F_13_1 49
X_13_1_2_1 1
T_13_2 9
F_13_2 10
X_13_2_3_1 1
T_14_0 2
F_14_0 49
X_14_0_1_2 1
T_14_1 17
F_14_1 9
X_14_1_2_1 1
T_14_2 21
F_14_2 14
X_14_2_2_2 1
T_15_0 14
F_15_0 22
X_15_0_3_2 1
T_16_0 5
F_16_0 20
X_16_0_2_4 1
T_16_1 17
F_16_1 24
X_16_1_1_1 1
T_17_0 0
F_17_0 46
X_17_0_2_1 1
T_18_0 1
F_18_0 21
X_18_0_3_2 1
T_18_1 12
F_18_1 34
X_18_1_2_1 1
T_19_0 0
F_19_0 36
X_19_0_3_1 1
