Status: HighsModelStatus.kTimeLimit
Objective: 80.00000000000084
Duration: 2400.04s

D_0_1_0_0 1.0
D_0_1_0_1 1.0
D_0_1_0_2 1.0
D_0_1_1_0 1.0
D_0_1_2_0 1.0
D_0_2_0_1 1.0
D_0_2_1_0 1.0
D_0_2_1_1 1.0
D_0_2_1_2 1.0
D_0_2_2_0 1.0
D_0_2_2_1 1.0
D_0_2_2_2 1.0
D_0_3_0_0 1.0
D_0_3_0_1 1.0
D_0_3_0_2 1.0
D_0_3_1_0 1.0
D_0_3_2_0 1.0
D_0_4_0_0 1.0
D_0_4_0_2 1.0
D_0_4_1_0 1.0
D_0_4_1_1 1.0
D_0_4_2_0 1.0
D_0_4_2_1 1.0
D_0_4_2_2 1.0
D_0_5_0_0 1.0
D_0_5_0_1 1.0
D_0_5_0_2 1.0
D_0_5_1_0 1.0
D_0_5_2_0 1.0
D_1_0_0_0 1.0
D_1_0_0_1 1.0
D_1_0_0_2 1.0
D_1_0_1_0 1.0
D_1_0_2_0 1.0
D_1_2_0_0 1.0
D_1_2_0_2 1.0
D_1_2_1_0 1.0
D_1_2_1_1 1.0
D_1_2_1_2 1.0
D_1_2_2_0 1.0
D_1_2_2_1 1.0
D_1_2_2_2 1.0
D_1_3_0_1 1.0
D_1_3_0_2 1.0
D_1_3_1_0 1.0
D_1_3_1_1 1.0
D_1_3_2_0 1.0
D_1_3_2_1 1.0
D_1_4_0_1 1.0
D_1_4_0_2 1.0
D_1_4_1_0 1.0
D_1_4_1_1 1.0
D_1_4_2_0 1.0
D_1_4_2_1 1.0
D_1_5_0_1 1.0
D_1_5_0_2 1.0
D_1_5_1_0 1.0
D_1_5_1_1 1.0
D_1_5_2_0 1.0
D_2_0_0_1 1.0
D_2_0_0_2 1.0
D_2_0_1_0 1.0
D_2_0_1_1 1.0
D_2_0_1_2 1.0
D_2_0_2_1 1.0
D_2_0_2_2 1.0
D_2_1_0_0 1.0
D_2_1_0_1 1.0
D_2_1_0_2 1.0
D_2_1_1_1 1.0
D_2_1_1_2 1.0
D_2_1_2_0 1.0
D_2_1_2_1 1.0
D_2_1_2_2 1.0
D_2_3_0_0 1.0
D_2_3_0_1 1.0
D_2_3_0_2 1.0
D_2_3_1_0 1.0
D_2_3_1_1 1.0
D_2_3_1_2 1.0
D_2_3_2_0 1.0
D_2_3_2_1 1.0
D_2_3_2_2 1.0
D_2_4_0_0 1.0
D_2_4_0_2 1.0
D_2_4_1_1 1.0
D_2_4_1_2 1.0
D_2_4_2_0 0.9999999999999997
D_2_4_2_2 1.0
D_2_5_0_0 1.0
D_2_5_0_1 1.0
D_2_5_0_2 1.0
D_2_5_1_1 1.0
D_2_5_1_2 1.0
D_2_5_2_0 1.0
D_2_5_2_1 1.0
D_2_5_2_2 1.0
D_3_0_0_0 1.0
D_3_0_0_1 1.0
D_3_0_0_2 1.0
D_3_0_1_0 1.0
D_3_0_2_0 1.0
D_3_1_0_1 1.0
D_3_1_0_2 1.0
D_3_1_1_0 1.0
D_3_1_1_1 1.0
D_3_1_1_2 1.0
D_3_1_2_0 1.0
D_3_2_0_0 1.0
D_3_2_0_1 1.0
D_3_2_0_2 1.0
D_3_2_1_0 1.0
D_3_2_1_1 1.0
D_3_2_1_2 1.0
D_3_2_2_0 1.0
D_3_2_2_1 1.0
D_3_2_2_2 1.0
D_3_4_0_1 1.0
D_3_4_0_2 1.0
D_3_4_1_0 1.0
D_3_4_1_1 1.0
D_3_4_2_0 1.0
D_3_4_2_1 1.0
D_3_5_0_1 1.0
D_3_5_0_2 1.0
D_3_5_1_0 1.0
D_3_5_1_1 1.0
D_3_5_1_2 1.0
D_3_5_2_0 1.0
D_3_5_2_2 1.0
D_4_0_0_0 1.0
D_4_0_0_1 1.0
D_4_0_0_2 1.0
D_4_0_1_1 1.0
D_4_0_1_2 1.0
D_4_0_2_0 1.0
D_4_0_2_2 1.0
D_4_1_0_1 1.0
D_4_1_0_2 1.0
D_4_1_1_0 1.0
D_4_1_1_1 1.0
D_4_1_1_2 1.0
D_4_1_2_0 1.0
D_4_2_0_0 1.0
D_4_2_0_2 1.0
D_4_2_1_1 1.0
D_4_2_2_0 1.0
D_4_2_2_1 1.0
D_4_2_2_2 1.0
D_4_3_0_1 1.0
D_4_3_0_2 1.0
D_4_3_1_0 1.0
D_4_3_1_1 1.0
D_4_3_1_2 1.0
D_4_3_2_0 1.0
D_4_5_0_1 1.0
D_4_5_0_2 1.0
D_4_5_1_0 1.0
D_4_5_1_1 1.0
D_4_5_1_2 1.0
D_4_5_2_0 1.0
D_5_0_0_0 1.0
D_5_0_0_1 1.0
D_5_0_0_2 1.0
D_5_0_1_0 1.0
D_5_0_2_0 1.0
D_5_1_0_1 1.0
D_5_1_0_2 1.0
D_5_1_1_0 1.0
D_5_1_1_1 1.0
D_5_1_2_0 1.0
D_5_2_0_0 1.0
D_5_2_0_2 1.0
D_5_2_1_0 1.0
D_5_2_1_1 1.0
D_5_2_1_2 1.0
D_5_2_2_0 1.0
D_5_2_2_1 1.0
D_5_2_2_2 1.0
D_5_3_0_1 1.0
D_5_3_0_2 1.0
D_5_3_1_0 1.0
D_5_3_1_1 1.0
D_5_3_2_0 1.0
D_5_3_2_1 1.0
D_5_3_2_2 1.0
D_5_4_0_1 1.0
D_5_4_0_2 1.0
D_5_4_1_0 1.0
D_5_4_1_1 1.0
D_5_4_2_0 1.0
D_5_4_2_1 1.0
F_0_0 12.999999999999904
F_0_1 -1.0
F_0_2 -1.0
F_1_0 8.0
F_1_1 -1.0
F_1_2 -1.0
F_3_0 16.0
F_3_1 -1.0
F_3_2 -1.0
F_4_0 2.000000000000008
F_4_1 4.000000000000003
F_4_2 -1.0
F_5_1 -1.0
F_5_2 -1.0
I_0_1_0_0_0 1.0
I_0_1_0_0_1 1.0
I_0_1_0_0_2 1.0
I_0_1_0_0_3 1.0
I_0_1_0_1_0 1.0
I_0_1_0_1_1 1.0
I_0_1_0_2_0 1.0
I_0_1_0_2_1 1.0
I_0_1_1_0_0 1.0
I_0_1_1_0_1 1.0
I_0_1_1_0_2 1.0
I_0_1_1_0_3 1.0
I_0_1_2_0_0 1.0
I_0_1_2_0_1 1.0
I_0_1_2_0_2 1.0
I_0_1_2_0_3 1.0
I_0_2_0_1_0 1.0
I_0_2_0_1_1 1.0
I_0_2_1_0_0 1.0
I_0_2_1_0_1 1.0
I_0_2_1_1_0 1.0
I_0_2_1_1_1 1.0
I_0_2_1_2_0 1.0
I_0_2_1_2_1 1.0
I_0_2_2_0_0 1.0
I_0_2_2_0_1 1.0
I_0_2_2_1_1 1.0
I_0_2_2_2_0 1.0
I_0_2_2_2_1 1.0
I_0_3_0_0_0 1.0
I_0_3_0_0_1 1.0
I_0_3_0_0_2 1.0
I_0_3_0_0_3 1.0
I_0_3_0_1_0 1.0
I_0_3_0_1_1 1.0
I_0_3_0_2_0 1.0
I_0_3_0_2_1 1.0
I_0_3_1_0_0 1.0
I_0_3_1_0_1 1.0
I_0_3_1_0_2 1.0
I_0_3_1_0_3 1.0
I_0_3_2_0_0 1.0
I_0_3_2_0_1 1.0
I_0_3_2_0_3 1.0
I_0_4_0_0_0 1.0
I_0_4_0_0_1 1.0
I_0_4_0_2_0 1.0
I_0_4_0_2_1 1.0
I_0_4_1_0_0 1.0
I_0_4_1_0_1 1.0
I_0_4_1_1_0 1.0
I_0_4_1_1_1 1.0
I_0_4_2_0_1 1.0
I_0_4_2_1_0 1.0
I_0_4_2_1_1 1.0
I_0_4_2_2_1 1.0
I_0_4_2_2_2 1.0
I_0_4_2_2_3 1.0
I_0_5_0_0_0 1.0
I_0_5_0_0_1 1.0
I_0_5_0_0_2 1.0
I_0_5_0_0_3 1.0
I_0_5_0_1_0 1.0
I_0_5_0_1_1 1.0
I_0_5_0_2_0 1.0
I_0_5_0_2_1 1.0
I_0_5_1_0_0 1.0
I_0_5_1_0_1 1.0
I_0_5_1_0_2 1.0
I_0_5_1_0_3 1.0
I_0_5_2_0_0 1.0
I_0_5_2_0_1 1.0
I_0_5_2_0_2 1.0
I_1_0_0_0_0 1.0
I_1_0_0_0_1 1.0
I_1_0_0_0_2 1.0
I_1_0_0_0_3 1.0
I_1_0_0_1_0 1.0
I_1_0_0_1_1 1.0
I_1_0_0_1_2 1.0
I_1_0_0_1_3 1.0
I_1_0_0_2_0 1.0
I_1_0_0_2_1 1.0
I_1_0_0_2_2 1.0
I_1_0_0_2_3 1.0
I_1_0_1_0_0 1.0
I_1_0_1_0_1 1.0
I_1_0_2_0_0 1.0
I_1_0_2_0_1 1.0
I_1_2_0_0_0 1.0
I_1_2_0_0_1 1.0
I_1_2_0_0_2 1.0
I_1_2_0_0_3 1.0
I_1_2_0_2_0 1.0
I_1_2_0_2_1 1.0
I_1_2_0_2_2 1.0
I_1_2_1_0_0 1.0
I_1_2_1_0_1 1.0
I_1_2_1_0_2 1.0
I_1_2_1_0_3 1.0
I_1_2_1_1_0 1.0
I_1_2_1_1_1 1.0
I_1_2_1_2_0 1.0
I_1_2_1_2_1 1.0
I_1_2_2_0_0 1.0
I_1_2_2_0_1 1.0
I_1_2_2_0_2 1.0
I_1_2_2_0_3 1.0
I_1_2_2_1_0 1.0
I_1_2_2_1_1 1.0
I_1_2_2_2_0 1.0
I_1_2_2_2_1 1.0
I_1_3_0_1_1 1.0
I_1_3_0_1_2 1.0
I_1_3_0_2_1 1.0
I_1_3_0_2_2 1.0
I_1_3_1_0_1 1.0
I_1_3_1_0_2 1.0
I_1_3_1_0_3 1.0
I_1_3_1_1_2 1.0
I_1_3_1_1_3 1.0
I_1_3_2_0_1 1.0
I_1_3_2_0_2 1.0
I_1_3_2_0_3 1.0
I_1_3_2_1_1 1.0
I_1_4_0_1_0 1.0
I_1_4_0_1_1 1.0
I_1_4_0_1_2 1.0
I_1_4_0_2_0 1.0
I_1_4_0_2_1 1.0
I_1_4_0_2_2 1.0
I_1_4_1_0_0 1.0
I_1_4_1_0_1 1.0
I_1_4_1_1_0 1.0
I_1_4_1_1_1 1.0
I_1_4_2_0_0 1.0
I_1_4_2_0_1 1.0
I_1_4_2_0_2 1.0
I_1_4_2_0_3 1.0
I_1_4_2_1_0 1.0
I_1_4_2_1_1 1.0
I_1_5_0_1_1 1.0
I_1_5_0_1_2 1.0
I_1_5_0_2_1 1.0
I_1_5_0_2_2 1.0
I_1_5_1_0_1 1.0
I_1_5_1_0_2 1.0
I_1_5_1_1_1 1.0
I_1_5_1_1_2 1.0
I_1_5_1_1_3 1.0
I_1_5_2_0_1 1.0
I_1_5_2_0_2 1.0
I_2_0_0_1_0 1.0
I_2_0_0_1_1 1.0
I_2_0_0_2_0 1.0
I_2_0_0_2_1 1.0
I_2_0_1_0_0 1.0
I_2_0_1_0_1 1.0
I_2_0_1_1_0 1.0
I_2_0_1_1_1 1.0
I_2_0_1_2_1 1.0
I_2_0_2_1_0 1.0
I_2_0_2_1_1 1.0
I_2_0_2_2_0 1.0
I_2_0_2_2_1 1.0
I_2_1_0_0_0 1.0
I_2_1_0_0_1 1.0
I_2_1_0_0_2 1.0
I_2_1_0_0_3 1.0
I_2_1_0_1_0 1.0
I_2_1_0_1_1 1.0
I_2_1_0_1_2 1.0
I_2_1_0_1_3 1.0
I_2_1_0_2_0 1.0
I_2_1_0_2_1 1.0
I_2_1_0_2_2 1.0
I_2_1_0_2_3 1.0
